Sl.
NState / UT            #Projected Rural p$Projected Rural HAmount sanctioned basTotal sanctioned aAmount released as fiAmount may be released as
1  A & N Islands                     295000             59000                   30             17.70                 7.40                     10.30
2  Andhra Pradesh                  60726000          12145200                   20           2429.04              1015.09                   1413.95
3  Arunachal Pradesh                 851000            170200                   30             51.06                35.28                     15.78
4  Assam                           25742000           5148400                   30           1544.52              1067.06                    477.46
5  Bihar                           86255000          17251000                   20           3450.20              1441.83                   2008.37
7  Chhattisgarh                    18480000           3696000                   20            739.20               308.91                    430.29
8  Dadra & Nagar Haveli              183000             36600                   20              7.32                 3.06                      4.26
9  Daman & Diu                       188000             37600                   20              7.52                 3.15                      4.37
11  Goa                               725000            145000                   20             29.00                12.12                     16.88
12  Gujarat                         34922000           6984400                   20           1396.88               583.76                    813.12
13  Haryana                         16727000           3345400                   20            669.08               279.61                    389.47
14  Himachal Pradesh                 5994000           1198800                   30            359.64               150.30                    209.34
15  Jammu & Kashmir                  8489000           1697800                   30            509.34               212.86                    296.48
16  Jharkhand                       23844000           4768800                   20            953.76               398.58                    555.18
17  Karnataka                       37127000           7425400                   20           1485.08               620.62                    864.46
18  Kerala                          25539000           5107800                   20           1021.56               426.91                    594.65
19  Lakshadweep                        49000              9800                   30              2.94                 1.23                      1.71
20  Madhya Pradesh                  51471000          10294200                   20           2058.84               860.39                   1198.45
21  Maharashtra                     60158000          12031600                   20           2406.32              1005.60                   1400.72
22  Manipur                          1798000            359600                   30            107.88                74.54                     33.34
23  Meghalaya                        2059000            411800                   30            123.54                85.36                     38.18
24  Mizoram                           469000             93800                   30             28.14                19.45                      8.69
25  Nagaland                         1839000            367800                   30            110.34                76.24                     34.10
26  Orissa                          33693000           6738600                   20           1347.72               563.21                    784.51
27  Puducherry                        416000             83200                   20             16.64                15.00                      1.64
28  Punjab                          16938000           3387600                   20            677.52               283.14                    394.38
29  Rajasthan                       50828000          10165600                   20           2033.12               849.64                   1183.48
30  Sikkim                            524000            104800                   30             31.44                21.73                      9.71
31  Tamil Nadu                      31232000           6246400                   20           1249.28               522.08                    727.20
32  Tripura                          2903000            580600                   30            174.18               120.34                     53.84
33  Uttar Pradesh                  154211000          30842200                   20           6168.44              2577.79                   3590.65
34  Uttaranchal                      7048000           1409600                   30            422.88               176.73                    246.15
35  West Bengal                     63462000          12692400                   20           2538.48              1060.83                   1477.65
India                               826177000         165235400                               34168.60             14879.84                  19288.76
