"WHO region","Year","Number of under-five deaths (thousands)","Number of infant deaths (thousands)","Number of neonatal deaths (thousands)"
"Africa"," 2017","2658","1844","988"
"Africa"," 2016","2717","1875","995"
"Africa"," 2015","2781","1906","1004"
"Africa"," 2014","2850","1939","1013"
"Africa"," 2013","2919","1973","1022"
"Africa"," 2012","2995","2008","1031"
"Africa"," 2011","3079","2047","1039"
"Africa"," 2010","3167","2085","1047"
"Africa"," 2009","3249","2123","1054"
"Africa"," 2008","3337","2162","1060"
"Africa"," 2007","3425","2202","1065"
"Africa"," 2006","3512","2242","1070"
"Africa"," 2005","3596","2280","1074"
"Africa"," 2004","3681","2319","1079"
"Africa"," 2003","3762","2357","1084"
"Africa"," 2002","3837","2391","1088"
"Africa"," 2001","3902","2420","1091"
"Africa"," 2000","3955","2442","1093"
"Africa"," 1999","3991","2456","1093"
"Africa"," 1998","4018","2461","1090"
"Africa"," 1997","4014","2457","1083"
"Africa"," 1996","3994","2444","1074"
"Africa"," 1995","3988","2427","1063"
"Africa"," 1994","3971","2408","1050"
"Africa"," 1993","3899","2377","1036"
"Africa"," 1992","3851","2348","1023"
"Africa"," 1991","3806","2320","1011"
"Africa"," 1990","3761","2292","999"
"Americas"," 2017","217","184","119"
"Americas"," 2016","224","190","123"
"Americas"," 2015","226","191","123"
"Americas"," 2014","231","196","125"
"Americas"," 2013","237","201","128"
"Americas"," 2012","244","207","130"
"Americas"," 2011","252","213","133"
"Americas"," 2010","298","227","138"
"Americas"," 2009","271","228","142"
"Americas"," 2008","282","237","146"
"Americas"," 2007","294","247","151"
"Americas"," 2006","307","258","156"
"Americas"," 2005","322","270","162"
"Americas"," 2004","338","283","169"
"Americas"," 2003","356","297","177"
"Americas"," 2002","375","313","185"
"Americas"," 2001","395","329","194"
"Americas"," 2000","418","346","203"
"Americas"," 1999","444","366","213"
"Americas"," 1998","471","385","222"
"Americas"," 1997","492","404","231"
"Americas"," 1996","519","425","240"
"Americas"," 1995","547","446","249"
"Americas"," 1994","576","467","258"
"Americas"," 1993","605","489","267"
"Americas"," 1992","635","510","275"
"Americas"," 1991","664","532","284"
"Americas"," 1990","694","552","293"
"South-East Asia"," 2017","1298","1057","767"
"South-East Asia"," 2016","1371","1109","800"
"South-East Asia"," 2015","1453","1168","838"
"South-East Asia"," 2014","1544","1232","878"
"South-East Asia"," 2013","1645","1303","922"
"South-East Asia"," 2012","1754","1380","969"
"South-East Asia"," 2011","1871","1462","1020"
"South-East Asia"," 2010","1996","1550","1074"
"South-East Asia"," 2009","2124","1640","1130"
"South-East Asia"," 2008","2278","1735","1187"
"South-East Asia"," 2007","2387","1821","1241"
"South-East Asia"," 2006","2517","1909","1294"
"South-East Asia"," 2005","2646","1994","1347"
"South-East Asia"," 2004","2807","2085","1401"
"South-East Asia"," 2003","2902","2162","1454"
"South-East Asia"," 2002","3031","2246","1508"
"South-East Asia"," 2001","3163","2331","1562"
"South-East Asia"," 2000","3296","2417","1615"
"South-East Asia"," 1999","3430","2502","1666"
"South-East Asia"," 1998","3565","2588","1716"
"South-East Asia"," 1997","3699","2673","1763"
"South-East Asia"," 1996","3832","2757","1809"
"South-East Asia"," 1995","3964","2840","1855"
