,,,
Andorra,–,,–
Antigua and Barbuda,–,,–
Argentina,–,,–
Australia,–,,–
Austria,–,,–
Bahamas,–,,–
Bahrain,–,,–
Belgium,–,,–
Botswana,–,,–
Brunei Darussalam,–,,–
Bulgaria,–,,–
Canada,–,,–
Chile,–,,–
China,–,,–
Cook Islands,–,,–
Croatia,–,,–
Cyprus,–,,–
Czechia,–,,–
Democratic People's Republic of Korea,–,,–
Denmark,–,,–
Dominica,–,,–
Estonia,–,,–
Fiji,–,,–
Finland,–,,–
France,–,,–
Germany,–,,–
Greece,–,,–
Grenada,–,,–
Holy See,–,,–
Holy See,–,,–
Ireland,–,,–
Israel,–,,–
Italy,–,,–
Japan,–,,–
Kuwait,–,,–
Latvia,–,,–
Libya,–,,–
Liechtenstein,–,,–
Lithuania,–,,–
Luxembourg,–,,–
Malaysia,–,,–
Malta,–,,–
Mauritius,–,,–
Micronesia (Federated States of),–,,–
Monaco,–,,–
Netherlands,–,,–
New Zealand,–,,–
Niue,–,,–
Norway,–,,–
Oman,–,,–
Palau,–,,–
Poland,–,,–
Portugal,–,,–
Republic of Korea,–,,–
Romania,–,,–
Russian Federation,–,,–
Saint Kitts and Nevis,–,,–
Saint Vincent and the Grenadines,–,,–
San Marino,–,,–
Saudi Arabia,–,,–
Seychelles,–,,–
Singapore,–,,–
Slovakia,–,,–
Slovenia,–,,–
Spain,–,,–
Sweden,–,,–
Switzerland,–,,–
United Arab Emirates,–,,–
United Kingdom,–,,–
United States,–,,–
Venezuela (Bolivarian Republic of),–,,–
