Year       Geographic Virus      Human casesHuman deathCase fataliNotes      
1967       Marburg andMARV       31         7          23.00%     [10][14][15
1975       Rhodesia anMARV       3          1          33.00%     [21][22][23
1980       Kenya      MARV       2          1          50.00%     [24]       
1987       Kenya      RAVV       1          1          100.00%    [25][26]   
1988       Koltsovo, S?          1          1          100.00%    [laboratory
1990       Koltsovo, SMARV       1          1          100.00%    [laboratory
1998–2000  Durba and WMARV & RAVV154        128        83.00%     Two differe
2004–2005  Angola     MARV       252        227        90.00%     [32][33][34
2007       Uganda     MARV & RAVV4          1          25.00%     [39][40]   
2008       Uganda, NetMARV       2          1          50.00%     [41]       
2012       Uganda     MARV       15         4          27.00%     [42]       
2014       Uganda     MARV       1          1          100.00%    [43][44]   
2017       Uganda     MARV       3          3          100.00%    [45]       
