"CountryCode","SeriesCode","DESCRIPTION",
"ABW","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data sources : Institute of Statistics, Eurostat",
"AND","SP.DYN.CBRT.IN","Data sources : Eurostat",
"AND","SP.DYN.CDRT.IN","Data sources : Eurostat",
"AND","SP.DYN.TFRT.IN","Data sources : Eurostat",
"AND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","SG.NOD.CONS","There is no nondiscrimination provision.",
"ARG","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ASM","SP.DYN.CBRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ASM","SP.DYN.CDRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ASM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.CBRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.CDRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AUS","SG.MMR.LEVE.EP","No paid or unpaid maternity leave is available.",
"AUS","SG.NOD.CONS","There is no nondiscrimination provision.",
"AUS","SG.OBT.IDCD.MR","There is no national identity card.",
"AUS","SG.POP.MIGR.FE.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SH.MMR.LEVE","Paid parental leave is available",
"AUS","SH.MMR.WAGE.ZS","Paid parental leave is available",
"AUS","SP.ADO.TFRT","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.CBRT.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.CDRT.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.LE00.FE.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.LE00.MA.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.TFRT.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.POP.0014.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.1564.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.65UP.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.AG00.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
