continent,nonstate,country,legal_all_genders,age_of_consent_equal,age_of_consent_unequal,illegal_male,illegal_female,penalising_text_sexual_act,penalising_text_sodomy,penalising_text_against_nature,penalising_text_buggery,penalising_text_indecency_other,promotion_or_morality_penal_code,promotion_or_morality_morality_code,max_sentences_1_month_to_2_years,max_sentences_3_years_to_7_years,max_sentences_8_years_to_13_years,max_sentences_14_years_to_life,max_sentences_death,arrests_in_past_3_years_yes,ban_on_ngos_yes,nrhi_so_inclusive_yes,nrhi_so_inclusive_no,nrhi_so_inclusive_unclear,nrhi_so_inclusive_none,protection_constitution,protection_employment,protection_other,protection_hate_crime,protection_incitemenrt,protection_conversion_therapy_ban,relationship_recognition_marriage,relationship_recognition_civil_recognition,relationship_recognition_joint_adoption,relationship_recognition_2nd_parent_adoption
AF,false,Algeria,false,false,false,true,true,true,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Angola,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Benin,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Botswana,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
AF,false,Burkina Faso,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Burundi,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Cameroon,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Cape Verde ,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false
AF,false,Central African Republic,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Chad,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
AF,false,Comoros,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Congo,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Côte d'Ivoire,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Democratic Republic of Congo,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Djibouti,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Egypt,true,true,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Equatorial Guinea,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Eritrea,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Ethiopia,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Gabon,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Gambia,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Ghana,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Guinea,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Guinea-Bissau,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Kenya,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Lesotho,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
AF,false,Liberia,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Libya,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false
AF,false,Madagascar,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
