,Total count,Total count,Total count,Total count,Total count,Total count,Total count,Total count,"Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population","Rate per 100,000 population"
Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2003,2004,2005,2006,2007,2008,2009,2010
Mauritius,53,40,38,64,77,69,57,51,4.3,3.2,3.0,5.1,6.0,5.4,4.4,3.9
Mozambique,,102,64,46,41,47,44,,,0.5,0.3,0.2,0.2,0.2,0.2,
Uganda,0,549,732,750,599,1536,619,709,2.0,2.0,2.6,2.6,2.0,4.9,1.9,2.1
Zimbabwe,3858,4997,4790,4967,4762,3186,,,30.6,39.7,38.1,39.6,38.2,25.6,,
Cameroon,451,555,592,580,447,,,,2.7,3.2,3.4,3.2,2.4,,,
Algeria,723,630,376,495,836,812,,,2.3,1.9,1.1,1.5,2.5,2.4,,
Morocco,618,453,475,1063,1215,1130,1507,,2.1,1.5,1.6,3.5,3.9,3.6,4.8,
Sudan,,,,,,1189,,,,,,,,2.9,,
Botswana,,,,,,,1754,1865,,,,,,,88.5,92.9
Lesotho,,,,,1797,1878,1777,,,,,,85.3,88.3,82.7,
Swaziland,785,849,,,,,,,72.1,77.5,,,,,,
Guinea,,,,,92,,,,,,,,1.0,,,
Senegal,,,301,159,167,416,710,693,,,2.8,1.4,1.5,3.5,5.9,5.6
Sierra Leone,,,,,135,79,,,,,,,2.5,1.4,,
Bahamas,,,87,72,135,118,109,78,,,27.2,22.2,41.1,35.4,32.2,22.7
Barbados,,,,,,,68,,,,,,,,24.9,
Grenada,,,23,22,30,31,57,32,,,22.4,21.4,29.0,29.9,54.8,30.6
Jamaica,,,,,,,695,668,,,,,,,25.5,24.4
Saint Kitts and Nevis,,,,,,,16,15,,,,,,,30.9,28.6
Saint Vincent and the Grenadines,,66,87,50,60,36,54,28,,60.8,80.0,45.9,55.0,33.0,49.4,25.6
Trinidad and Tobago,,305,334,259,317,236,247,,,23.3,25.4,19.6,23.9,17.7,18.5,
Belize,,,48,44,,,30,21,,,17.1,15.3,,,9.8,6.7
Costa Rica,576,600,543,485,,,1685,,13.8,14.2,12.6,11.1,,,36.7,
El Salvador,,,1185,1140,,,756,681,,,19.6,18.8,,,12.3,11.0
Guatemala,,363,314,289,318,385,401,,,2.9,2.5,2.2,2.4,2.8,2.9,
Mexico,,13650,13550,13894,14199,14078,14850,14993,,13.0,12.7,12.9,13.0,12.7,13.3,13.2
Nicaragua,,,1322,1524,,,,1829,,,24.4,27.7,,,,31.6
Panama *,,629,771,792,855,713,809,996*,,19.8,23.8,24.0,25.5,20.9,23.4,28.3*
