Region ,Country ,Percent,Pop,Hindu
South Asia ,Afghanistan Afghanistan ,0.4%[11][12] ,31889923,4000
Western Europe ,Andorra Andorra ,0.4%[13] ,85000,342
Caribbean ,Anguilla Anguilla ,0.43%[14] ,13452,58
Caribbean ,Antigua and Barbuda Antigua and Barbuda ,0.4%[15] ,81799,379
South America ,Argentina Argentina ,0.01%[16] ,40301927,4030
Oceania ,Australia Australia ,1.9%[17] ,23401400,440300
Central Europe ,Austria Austria ,0.1% [18] ,8900000,11000
Middle East ,Bahrain Bahrain ,<1%–9.8%[19][note 1] ,708573,144286
South Asia ,Bangladesh Bangladesh ,8.54%[22] ,167000000,14300000
Caribbean ,Barbados Barbados ,0.46%[23] ,226193,1055
Western Europe ,Belgium Belgium ,0.06%[24] ,10392226,6235
Central America ,Belize Belize ,0.2%[25]-2.3%[26] ,294385,"6,771"
South Asia ,Bhutan Bhutan ,22.6%[27]-25%[28][29] ,742737,185700
Southern Africa ,Botswana Botswana ,0.3%[30] ,1372675,3353
South America ,Brazil Brazil ,0.0029%[31]-0.01%[32] ,192755799,9500
Southeast Asia ,Brunei Brunei ,0.035%[33] ,374577,131
West Africa ,Burkina Faso Burkina Faso ,0.001%[citation needed] ,14326203,150
Central Africa ,Burundi Burundi ,0.1%[34][35] ,8390505,8391
Southeast Asia ,Cambodia Cambodia ,0.3%[36][37] ,13995904,41988
North America ,Canada Canada ,1.45%[38][39] ,33390141,497965
Central Europe ,Czech Republic Czech Republic ,0.023%[40] ,10436560,2404
South America ,Colombia Colombia ,0.02%[41] ,44379598,8876
East Africa ,Comoros Comoros ,0.1%(approx)[citation needed] ,711417,711
Central Africa ,Democratic Republic of the Congo Congo (Kinshasa) ,0.18%[42] ,65751512,118353
Balkans ,Croatia Croatia ,0.01% (approx)[43] ,4493312,449
North America ,Cuba Cuba ,0.21%[44] ,11394043,23927
West Africa ,Ivory Coast Côte d'Ivoire ,0.1%[45][46] ,18013409,18013
Western Europe ,Denmark Denmark ,0.1%[47][48] ,5468120,5468
East Africa ,Djibouti Djibouti ,0.02%[49] ,496374,99
Caribbean ,Dominica Dominica ,0.2%[50] ,72386,145
East Africa ,Eritrea Eritrea ,0.1% (approx)[51] ,4906585,4907
