Table                                                  
Country or Core Jewish                                 
Population Jews per 1,                                 
total populEnlarged Je                                 
Population National of                                 
World         14511100       1.96   20499200N/A        
Israel Isra    6451000     736.03    68355006,697,000 (
United Stat    5700000       17.6   10000000N/A        
France Fran     456000       7.05     600000N/A        
Canada Cana     390000      10.77     550000143,665 (20
United King     289500        4.4     370000269,568 (20
Argentina A     180500       4.14     330000N/A        
Russia Russ     176000       1.22     380000157,968 (20
Germany Ger     116500       1.41     22500084,430 (201
Australia A     113200        4.7     14000091,022 (201
Brazil Braz      93800       0.46     150000107,329 (20
South Afric      69300       1.24      80000      75555(2001)[32] 
Ukraine Ukr      53000       1.24     140000105,480 (20
Hungary Hun      47500       4.85     10000010,965 (201
Mexico Mexi      40000       0.31      5000067,476 (201
Netherlands      29800       1.75      520000.1% (2016)
Belgium Bel      29300       2.59      40000N/A        
Italy Italy      27300       0.45      41000N/A        
Switzerland      18700       2.23      2500016,763 (201
Chile Chile      18300       1.01      2600014,976 (200
Uruguay Uru      16900       4.83      25000N/A        
Turkey Turk      15300       0.19      21000N/A        
Sweden Swed      15000       1.52      25000N/A        
Spain Spain      11800       0.27      18000N/A        
Belarus Bel      10000       1.05      2500012,935 (200
Panama Pana      10000        2.5      12000N/A        
Romania Rom       9200       0.46      170003,519 (2011
Austria Aus       9000       1.02      170008,140 (2001
Iran Iran         8500       0.11      120009,826 (2016
Azerbaijan        8100       0.83      160009,084 (2009
Venezuela V       7600       0.25      120000% (2010)[3
New Zealand       7500        1.6       95006,867 (2013
Uganda Ugan-          -          -          7,189 (2014
Denmark Den       6400       1.12       8500N/A        
India India       5000          0       70004,650 (2011
Latvia Latv       4800        2.4      120008,332 (2018
Greece Gree       4200       0.39       5000N/A        
Czech Repub       3900       0.37       65001,474 (2011
Moldova Mol       3400       0.94       7500584 (2014)[
Uzbekistan        3400       0.11       800094,689 (198
Poland Pola       3200       0.08       75002,488 (2011
Kazakhstan        2800       0.16       65005,281 (2009
China China       2700          0       3300N/A        
Lithuania L       2600        0.9       65001,229 (2011
Slovakia Sl       2600       0.48       46001,999 (2011
Costa Rica        2500       0.51       3100N/A        
Colombia Co       2200       0.05       3200N/A        
Morocco Mor       2200       0.06       2700N/A        
Bulgaria Bu       2000       0.28       6000706 (2011)[
Estonia Est       2000       1.54       3400355 (2011)[
Peru Peru         1900       0.06       3000N/A        
Croatia Cro       1700        0.4       3000536 (2011)[
Georgia (co                                            
South Osset       1700       0.43       60001,417 (2014
1 (2015)[45                                            
Republic of       1600       0.34       24001,921 (2016
Puerto Rico       1500       0.44       2500N/A        
Serbia Serb       1400        0.2       2800578 (2011)[
Finland Fin       1300       0.24       19001,093 (2017
Norway Norw       1300       0.25       2000789 (2018)[
Tunisia Tun       1100        0.1       1300N/A        
Japan Japan       1000       0.01       1400N/A        
Paraguay Pa       1000       0.14       16001,100 (2002
Guatemala G        900       0.05       1500N/A        
Singapore S        900       0.16       1200N/A        
Ecuador Ecu        600       0.04       1000N/A        
Gibraltar G        600         20        800763 (2012)[
Luxembourg         600          1       1000N/A        
Portugal Po        600       0.06       10003,061 (2011
Bolivia Bol        500       0.05        900N/A        
Bosnia and         500       0.14       1000262 (2013)[
Cuba Cuba          500       0.04       1500N/A        
United Stat        400       3.64        700N/A        
Kyrgyzstan         400       0.07       1000455 (2018)[
The Bahamas        300       0.75        700191 (2010)[
Kenya Kenya        300       0.01        700N/A        
Netherlands        300       0.82        700N/A        
Jamaica Jam        200       0.07        400506 (2011)[
Suriname Su        200        0.4        600181 (2012)[
Thailand Th        200          0        400N/A        
Turkmenista        200       0.04        4001,537 (1995
Zimbabwe Zi        200       0.01        800N/A        
Armenia Arm        100       0.03        300127 (2011)[
Bermuda Ber        100       1.54        300135 (2010)[
Botswana Bo        100       0.05        300N/A        
Democratic         100          0        300N/A        
Cyprus Cypr        100       0.08        300N/A        
Dominican R        100       0.01        300N/A        
Egypt Egypt        100          0        300N/A        
El Salvador        100       0.02        300N/A        
Ethiopia Et        100          0       1000N/A        
Indonesia I        100          0        300N/A        
Malta Malta        100       0.25        300N/A        
Namibia Nam        100       0.04        300N/A        
Nigeria Nig        100          0        300N/A        
North Maced        100       0.05        30053 (2002)[5
Madagascar         100          0        300N/A        
Philippines        100          0        300N/A        
Slovenia Sl        100       0.05        30099 (2001)[3
South Korea        100          0        300N/A        
Syria Syria                                            
Lebanon Leb        100       0.01        300N/A        
Taiwan Taiw        100          0        300N/A        
Aruba Aruba-          -          -          354 (2010)[
Nicaragua N-          -          -          199 (2005)[
Barbados Ba-          -          -          103 (2011)[
Mauritius M-          -          -          43 (2011)[3
 Tajikistan-          -          -          38 (2010)[3
 Anguilla  -          -          -          16 (2001)[3
 Faroe Isla-          -          -          12 (2011)[5
 Montenegro-          -          -          12 (2003)[3
 British Vi-          -          -          11 (2010)[3
 Liechtenst-          -          -          26 (2000)[5
 Falkland I-          -          -          1 (2006)[32
Remnant and                                            
                                                       
The above t                                            
Core Jewish                                            
                                                       
According t                                            
           Country    Core Jewish                      
population % of                                        
total (worl                                            
          1Israel         6451000     44.50%           
          2United Stat    5700000     39.30%           
          3France          456000      3.10%           
          4Canada          390000      2.70%           
          5United King     289500      2.00%           
          6Argentina       180500      1.20%           
          7Russian Fed     176000      1.20%           
          8Germany         116500      0.80%           
          9Australia       113200      0.80%           
         10Brazil           93800      0.60%           
         11South Afric      69300      0.50%           
         12Ukraine          53000      0.40%           
         13Hungary          47500      0.30%           
         14Mexico           40000      0.30%           
         15Netherlands      29800      0.20%           
         16Belgium          29300      0.20%           
         17Italy            27300      0.20%           
         18Switzerland      18700      0.10%           
         19Chile            18300      0.10%           
         20Uruguay          16900      0.10%           
         21Turkey           15300      0.10%           
         22Sweden           15000      0.10%           
Jewish popu                                            
Rank       City       Country    Percent    Number     
          1Qırmızı Qəs Azerbaijan        100       3300
          2Kiryas Joel United Sta         99      22000
          3Deal        United Sta         91600[citatio
          4Beachwood[6 United Sta       90.4      10700
          5Hampstead[6 Canada           74.2       5170
          6Côte-Saint- Canada           69.1      20146
          7Lakewood[68 United Sta         59      59607
          8Teaneck[69] United Sta         50      18000
          9Livingston  United Sta         4612,600[cita
         10Caulfield N Australia        41.1       8619
         11Elstree, He United Kin         36       1840
         12Caulfield S Australia        33.9       4008
         13Rose Bay[73 Australia        27.3       2744
         14Radlett, He United Kin      26.28       2579
         15Sarcelles[7 France             25      15000
         16Mercer Isla United Sta         25       5000
         17St Kilda Ea Australia        24.8       3246
         18Créteil[79] France           24.4      22000
         19Vaucluse[80 Australia        23.2       2163
         20Westmount[8 Canada           23.2       4495
         21Bellevue Hi Australia        21.4       2300
         22Dollard-des Canada           21.1      10115
         23Shenley, He United Kin       15.7        864
         24New York Ci United Sta         18    1540000
         25Elsternwick Australia        17.8       1846
         26Bushey, Her United Kin      17.65       4546
         27Vaughan[cit Canada          15.28      43760
         28Bondi[87]   Australia        12.7       1272
         29Borehamwood United Kin      12.22       3906
         30Mount Royal Canada             12       2205
         31Chigwell Ro United Kin       13.3        294
         32Chigwell, E United Kin       11.5       1492
         33Miami[91][n United Sta       9.86     535000
         34Marseille[9 France              9      70000
         35Buenos Aire Argentina        8.22     244000
         36Moor Park,  United Kin        8.1        448
         37Bricket Woo United Kin       6.67        273
         38Bury[96]    United Kin        5.6      10360
         39Buckhurst H United Kin       4.83        549
         40Toronto[99] Canada           4.21     103500
See also                                               
                                                       
    Aliyah                                             
    Histori                                            
    Jewish                                             
    Jewish                                             
    Judaism                                            
    Judaism                                            
    List of                                            
                                                       
Notes                                                  
                                                       
Numbers in                                             
                                                       
    Israel:                                            
    West Ba                                            
                                                       
Figures inc                                            
                                                       
    Figures                                            
                                                       
References                                             
                                                       
Jewish popu                                            
