Country,Number of prostitutesSource: UNAIDS 2016Sex Workers: Size Estimates[4],Number of prostitutesOther sources and year,Population[5],"Prevalence(prostitutes per10,000 population)"
Afghanistan,"13,000",,"34,656,032",4
Albania,,"5,000 - 30,000 (2006)[6]","2,926,348",17 - 103
Algeria,,No data,"40,606,052",-
Angola,"33,000",,"28,813,463",12
Antigua and Barbuda,755,,"100,963",75
Argentina,"75,000",,"43,847,430",18
Armenia,"5,600",,"2,924,816",17
Australia,"21,000",,"24,125,848",9
Austria,,"30,000 (2013)[7]","8,712,137",34
Azerbaijan,"25,000",,"9,725,376",26
Bahamas,"3,035",,"391,232",78
Bahrain,,"13,500 (2007)[8]","1,425,171",95
Bangladesh,"140,000",,"162,951,560",9
Belarus,"22,000",,"9,480,042",23
Belgium,,"26,000 (2015)[9]","11,358,379",23
Benin,"15,000",,"10,872,298",14
Bhutan,,400 - 500 (2017)[10],"797,765",5 - 6
Bolivia,"31,000",,"10,887,882",29
Bosnia and Herzegovina,"4,000",,"3,516,816",11
Botswana,"4,200",,"2,250,260",19
Brazil,"550,000",,"207,652,865",26
Bulgaria,"10,000",,"7,131,494",14
Burkina Faso,"31,000",,"18,646,433",17
Burundi,"51,000",,"10,524,117",49
Cambodia,"34,000",,"15,762,370",22
Cameroon,"110,000",,"23,439,189",47
Canada,,No data,"36,289,822",-
Cape Verde,"1,400",,"539,560",26
Central African Republic,782,,"4,594,621",2
Chad,"1,200",,"14,452,543",1
Chile,,No data,"17,909,754",-
China,,"2,800,000 - 4,500,000 (2010)[11]","1,403,500,365",14 - 32
Colombia,"7,200",,"48,653,419",2
Comoros,200,,"795,601",3
Congo,,No data,"5,125,821",-
Costa Rica,,"15,000 (unknown)[12]","4,857,274",31
Croatia,,"21,066 (2006)[13]","4,213,265",50
Cuba,"89,000",,"11,475,982",78
Cyprus,,No data,"1,170,125",-
Czech Republic,"13,000",,"10,610,947",12
Democratic Republic of the Congo,"2,900,000",,"78,736,153",368
Denmark,,"6,000 (2009)[14]","5,711,870",11
Djibouti,"2,900",,"942,333",31
Dominican Republic,,"60,000 - 100,000 (2013)[15]","10,648,791",56 - 94
East Timor,"1,700",,"1,268,671",13
Ecuador,"34,000",,"16,385,068",21
Egypt,"23,000",,"95,688,681",2
El Salvador,"20,000",,"6,344,722",32
Equatorial Guinea,"5,800",,"1,221,490",41
Eritrea,"1,600",,"4,954,645",3
Estonia,"1,000",,"1,312,442",7
Ethiopia,"19,000",,"102,403,196",2
Federated States of Micronesia,290,,"104,937",29
Fiji,857,,"898,760",10
Finland,,"4,000 (2009)[14]","5,503,132",7
France,,"30,000 (2018)[16]","64,720,690",5
Gabon,368,,"1,979,786",2
Gambia,"3,100",,"2,038,501",15
Georgia,"6,500",,"3,925,405",17
Germany,,"300,000 (2009)[14]","81,914,672",37
Ghana,"52,000",,"28,206,728",18
Greece,,"10,500 –15,000 (2009)[14]","11,183,716",9 - 13
Guatemala,"26,000",,"16,582,469",16
Guinea,"8,400",,"12,395,924",7
Guinea-Bissau,"3,100",,"1,815,698",17
Guyana,"5,300",,"773,303",69
Haiti,"70,000",,"10,847,334",65
Honduras,"23,000",,"9,112,867",25
Hungary,,"20,000 - 25,000 (2006)[17]","9,753,281",21 - 26
India,"660,000",,"1,324,171,354",5
Indonesia,"230,000",,"261,115,456",9
Iran,,"91,500 (2015)[18]","80,277,428",11
Iraq,,No data,"37,202,572",-
Ireland,"1,000",,"4,726,078",2
Israel,,"12,000 (2015)[19]","8,191,828",15
Italy,,"60,000 (2009)[14]","59,429,938",10
Ivory Coast,"9,200",,"23,695,919",4
Jamaica,"19,000",,"2,881,355",66
Japan,,No data,"127,748,513",-
Jordan,,No data,"9,455,802",-
Kazakhstan,"19,000",,"17,987,736",11
Kenya,"130,000",,"48,461,567",27
Kiribati,114,,"114,395",10
Kuwait,,No data,"4,052,584",-
Kyrgyzstan,"7,100",,"5,955,734",12
Laos,"13,000",,"6,758,353",19
Latvia,,"29,558 (2006)[13]","1,970,530",150
Lebanon,"4,200",,"6,006,668",7
Lesotho,"6,300",,"2,203,821",29
Liberia,"1,800",,"4,613,823",2
Libya,,No data,"6,293,253",-
Lithuania,,"1,000 – 3,000 (unknown)[20]","2,908,249",3 - 10
Luxembourg,,300 (2009)[14],"575,747",5
Macedonia,"3,600",,"2,081,206",17
Madagascar,"170,000",,"24,894,551",68
Malawi,"9,300",,"18,091,575",5
Malaysia,"21,000",,"31,187,265",7
Maldives,,"1,139 (2013)[21]","427,756",27
Mali,"36,000",,"17,994,837",20
Marshall Islands,250,,"53,066",47
Mauritania,315,,"4,301,018",1
Mauritius,"6,200",,"1,262,132",49
Mexico,"240,000",,"127,540,423",19
Moldova,"12,000",,"4,059,608",30
Mongolia,"1,300",,"3,027,398",4
Morocco,"75,000",,"35,276,786",21
Mozambique,"14,000",,"28,829,476",5
Myanmar,"66,000",,"52,885,223",13
Namibia,"8,100",,"2,479,713",33
Nepal,"67,000",,"28,982,771",23
Netherlands,"25,000",,"16,987,330",15
New Zealand,,"5,932 (2005)[22]","4,660,833",13
Nicaragua,"18,000",,"6,149,928",29
Niger,"47,000",,"20,672,987",23
Nigeria,"100,000",,"185,989,640",5
North Korea,,"25,000 (2014)[23]","25,368,620",10
