"N","CN","CONTINENT","COUNTRY","2017","S","2019","S","","","","",""
"1","1","AFRICA","Algeria","ILLEGAL","0","ILLEGAL","0","","","","",""
"2","2","AFRICA","Angola","ILLEGAL","0","LEGAL","2","","Changed!","","",""
"3","3","AFRICA","Benin","LEGAL","2","LEGAL","2","","","","",""
"4","4","AFRICA","Botswana","ILLEGAL","0","ILLEGAL","0","","","","",""
"5","5","AFRICA","Burkina Faso","LEGAL","2","LEGAL","2","","","","",""
"6","6","AFRICA","Burundi","ILLEGAL","0","ILLEGAL","0","","","","",""
"7","7","AFRICA","Cameroon","ILLEGAL","0","ILLEGAL","0","","","","",""
"8","8","AFRICA","Cape Verde ","LEGAL","2","LEGAL","2","","","","",""
"9","9","AFRICA","Central African Republic","LEGAL","2","LEGAL","2","","","","",""
"10","10","AFRICA","Chad","LEGAL","2","ILLEGAL","0","","Changed!","","",""
"11","11","AFRICA","Comoros","ILLEGAL","0","ILLEGAL","0","","","","",""
"12","12","AFRICA","Congo","LEGAL","2","LEGAL","2","","","","",""
"13","13","AFRICA","Côte d'Ivoire","LEGAL","2","LEGAL","1","","Changed!","","",""
"14","14","AFRICA","Democratic Republic of Congo","LEGAL","2","LEGAL","1","","Changed!","","",""
"15","15","AFRICA","Djibouti","LEGAL","2","LEGAL","2","","","","",""
"16","16","AFRICA","Egypt","DE FACTO ILLEGAL","1","DE FACTO ILLEGAL","1","","","","",""
"17","17","AFRICA","Equatorial Guinea","LEGAL","2","LEGAL","2","","","","",""
"18","18","AFRICA","Eritrea","ILLEGAL","0","ILLEGAL","0","","","","",""
"19","19","AFRICA","Eswatini","ILLEGAL","0","ILLEGAL","0","","","","",""
"20","20","AFRICA","Ethiopia","ILLEGAL","0","ILLEGAL","0","","","","",""
"21","21","AFRICA","Gabon","LEGAL","2","LEGAL","2","","","","",""
"22","22","AFRICA","Gambia","ILLEGAL","0","ILLEGAL","0","","","","",""
"23","23","AFRICA","Ghana","ILLEGAL","0","ILLEGAL","0","","","","",""
"24","24","AFRICA","Guinea","ILLEGAL","0","ILLEGAL","0","","","","",""
"25","25","AFRICA","Guinea-Bissau","LEGAL","2","LEGAL","2","","","","",""
"26","26","AFRICA","Kenya","ILLEGAL","0","ILLEGAL","0","","","","",""
"27","27","AFRICA","Lesotho","LEGAL","2","LEGAL","2","","","","",""
"28","28","AFRICA","Liberia","ILLEGAL","0","ILLEGAL","0","","","","",""
"29","29","AFRICA","Libya","ILLEGAL","0","ILLEGAL","0","","","","",""
"30","30","AFRICA","Madagascar","LEGAL","2","LEGAL","2","","","","",""
"31","31","AFRICA","Malawi","ILLEGAL","0","ILLEGAL","0","","","","",""
"32","32","AFRICA","Mali","LEGAL","2","LEGAL","2","","","","",""
"33","33","AFRICA","Mauritania","ILLEGAL","0","ILLEGAL","0","","","","",""
"34","34","AFRICA","Mauritius","ILLEGAL","0","ILLEGAL","0","","","","",""
"35","35","AFRICA","Morocco","ILLEGAL","0","ILLEGAL","0","","","","",""
"36","36","AFRICA","Mozambique","LEGAL","2","LEGAL","2","","","","",""
"37","37","AFRICA","Namibia","ILLEGAL","0","ILLEGAL","0","","","","",""
"38","38","AFRICA","Niger","LEGAL","2","LEGAL","2","","","","",""
"39","39","AFRICA","Nigeria","ILLEGAL","0","ILLEGAL","0","","","","",""
"40","40","AFRICA","Rwanda","LEGAL","2","LEGAL","2","","","","",""
"41","41","AFRICA","São Tome & Principe","LEGAL","2","LEGAL","2","","","","",""
"42","42","AFRICA","Senegal","ILLEGAL","0","ILLEGAL","0","","","","",""
"43","43","AFRICA","Seychelles","LEGAL","2","LEGAL","2","","","","",""
"44","44","AFRICA","Sierra Leone","ILLEGAL","0","ILLEGAL","0","","","","",""
"45","45","AFRICA","Somalia","ILLEGAL","0","ILLEGAL","0","","","","",""
"46","46","AFRICA","South Africa ","LEGAL","2","LEGAL","2","","","","",""
"47","47","AFRICA","South Sudan","ILLEGAL","0","ILLEGAL","0","","","","",""
"48","48","AFRICA","Sudan","ILLEGAL","0","ILLEGAL","0","","","","",""
"49","49","AFRICA","Tanzania","ILLEGAL","0","ILLEGAL","0","","","","",""
"50","50","AFRICA","Togo","ILLEGAL","0","ILLEGAL","0","","","","",""
"51","51","AFRICA","Tunisia","ILLEGAL","0","ILLEGAL","0","","","","",""
"52","52","AFRICA","Uganda","ILLEGAL","0","ILLEGAL","0","","","","",""
"53","53","AFRICA","Zambia","ILLEGAL","0","ILLEGAL","0","","","","",""
"54","54","AFRICA","Zimbabwe","ILLEGAL","0","ILLEGAL","0","","","","",""
"55","1","LAC","Antigua and Barbuda","ILLEGAL","0","ILLEGAL","0","","","","",""
"56","2","LAC","Argentina ","LEGAL","2","LEGAL","2","","","","",""
"57","3","LAC","Bahamas ","LEGAL","2","LEGAL","2","","","","",""
"58","4","LAC","Barbados","ILLEGAL","0","ILLEGAL","0","","","","",""
"59","5","LAC","Belize","LEGAL","2","LEGAL","2","","","","",""
"60","6","LAC","Bolivia","LEGAL","2","LEGAL","2","","","","",""
"61","7","LAC","Brazil","LEGAL","2","LEGAL","2","","","","",""
"62","8","LAC","Costa Rica ","LEGAL","2","LEGAL","2","","","","",""
"63","9","LAC","Chile ","LEGAL","2","LEGAL","2","","","","",""
"64","10","LAC","Colombia ","LEGAL","2","LEGAL","2","","","","",""
"65","11","LAC","Cuba ","LEGAL","2","LEGAL","2","","","","",""
"66","12","LAC","Dominica","ILLEGAL","0","ILLEGAL","0","","","","",""
"67","13","LAC","Dominican Republic ","LEGAL","2","LEGAL","2","","","","",""
"68","14","LAC","Ecuador ","LEGAL","2","LEGAL","2","","","","",""
"69","15","LAC","El Salvador ","LEGAL","2","LEGAL","2","","","","",""
"70","16","LAC","Grenada","ILLEGAL","0","ILLEGAL","0","","","","",""
"71","17","LAC","Guatemala ","LEGAL","2","LEGAL","2","","","","",""
"72","18","LAC","Guyana","ILLEGAL","0","ILLEGAL","0","","","","",""
"73","19","LAC","Haiti ","LEGAL","2","LEGAL","2","","","","",""
"74","20","LAC","Honduras ","LEGAL","2","LEGAL","2","","","","",""
"75","21","LAC","Jamaica","ILLEGAL","0","ILLEGAL","0","","","","",""
"76","22","LAC","Mexico ","LEGAL","2","LEGAL","2","","","","",""
"77","23","LAC","Nicaragua ","LEGAL","2","LEGAL","2","","","","",""
"78","24","LAC","Panama ","LEGAL","2","LEGAL","2","","","","",""
"79","25","LAC","Paraguay","LEGAL","2","LEGAL","2","","","","",""
"80","26","LAC","Peru ","LEGAL","2","LEGAL","2","","","","",""
"81","27","LAC","St Kitts & Nevis","ILLEGAL","0","ILLEGAL","0","","","","",""
"82","28","LAC","St Lucia","ILLEGAL","0","ILLEGAL","0","","","","",""
"83","29","LAC","St Vincent & the Grenadines","ILLEGAL","0","ILLEGAL","0","","","","",""
"84","30","LAC","Suriname ","LEGAL","2","LEGAL","2","","","","",""
"85","31","LAC","Trinidad and Tobago","ILLEGAL","0","LEGAL","2","","Changed!","","",""
"86","32","LAC","Uruguay ","LEGAL","2","LEGAL","2","","","","",""
"87","33","LAC","Venezuela","LEGAL","2","LEGAL","2","","","","",""
"88","1","NA","Canada","LEGAL","2","LEGAL","2","","","","",""
"89","2","NA","United States","LEGAL","2","LEGAL","2","","","","",""
"90","1","ASIA","Afghanistan","ILLEGAL","0","ILLEGAL","0","","","","",""
"91","2","ASIA","Bahrain","LEGAL","2","LEGAL","2","","","","",""
"92","3","ASIA","Bangladesh","ILLEGAL","0","ILLEGAL","0","","","","",""
"93","4","ASIA","Bhutan","ILLEGAL","0","ILLEGAL","0","","","","",""
"94","5","ASIA","Brunei Darussalam","ILLEGAL","0","ILLEGAL","0","","","","",""
"95","6","ASIA","Cambodia","LEGAL","2","LEGAL","2","","","","",""
"96","7","ASIA","China","LEGAL","2","LEGAL","2","","","","",""
"97","8","ASIA","East Timor ","LEGAL","2","LEGAL","2","","","","",""
"98","9","ASIA","Palestine","","1","","1","","","","",""
"99","10","ASIA","India","ILLEGAL","0","LEGAL","2","","Changed!","","",""
"100","11","ASIA","Indonesia","LEGAL","1","LEGAL","1","","","","",""
