                  2014                                                2015                                               2016                                                          2017                                        2018
Rank       Country    Deaths                                   Country    Deaths                                  Country    Deaths                                             Country    Deaths                           Country    Deaths     
          1 Syria     Negative increase76,021                   Syria     Positive decrease55,219                  Syria     Positive decrease49,742                             Syria     Positive decrease39,00            AfghanistaNegative in
          2 South SudaNegative increase50,000[295]              AfghanistaNegative increase36,345                  Mexico    Negative increase23,953 [296]                       Mexico    Negative increase31,17            Mexico    Positive de
          3 Mexico    Positive decrease27,662 [297]             Iraq      Negative increase24,113                  Iraq      Positive decrease23,898                             AfghanistaPositive decrease23,06            Yemen     Negative in
          4 Iraq      Negative increase24,000[23][29            Mexico    Positive decrease20,525[299]             AfghanistaPositive decrease23,539                             Iraq      Positive decrease13,18            Syria     Positive de
          5 AfghanistaNegative increase14,638                   Nigeria   Positive decrease8,122                   Somalia   Negative increase5,575                              Myanmar   Negative increase6,700            Iraq      Positive de
          6 Nigeria   Negative increase11,360                   Yemen     Negative increase6,425                   Nigeria   Positive decrease4,684                              Somalia   Positive decrease4,969            Nigeria   Negative in
          7 Pakistan  Positive decrease5,519[300][30            Ukraine   Positive decrease4,344                   Sudan     Negative increase3,891                              South SudaPositive decrease3,528            Somalia   Positive de
          8 Ukraine   Negative increase4,771                    Somalia   Positive decrease4,087                   South SudaNegative increase3,544                              Nigeria   Positive decrease3,432            Saudi ArabNegative in
          9 Somalia   Negative increase4,447                    Pakistan  Positive decrease3,688[300][3            Libya     Negative increase2,865                              Sudan     Positive decrease2,450            DemocraticPositive de
         10 Sudan     Positive decrease3,892                    South SudaPositive decrease3,258                   Turkey    Negative increase2,013                              DemocraticNegative increase1,857            Mali      Negative in
         11 Central AfNegative increase3,347                    Sudan     Positive decrease3,216                   Pakistan  Positive decrease1,803[300][301]                    Central AfNegative increase1,757            South SudaPositive de
         12 Libya     Negative increase2,825                    Egypt     Negative increase2,836                   Egypt     Positive decrease1,707                              Libya     Positive decrease1,564            India     Negative in
         13 Israel/ PaNegative increase2,365                    Libya     Positive decrease2,706                   DemocraticPositive decrease1,565                              Egypt     Positive decrease1,506            Cameroon  Negative in
         14 Yemen     Negative increase1,500                    DemocraticNegative increase1,699                   Yemen     Positive decrease1,375                              Ethiopia  Negative increase1,445            Ethiopia  Positive de
         15 Cameroon  Negative increase1,366                    Cameroon  Negative increase1,429                   Ethiopia  Negative increase1,114                              PhilippineNegative increase1,429            Central AfPositive de
         16 DemocraticPositive decrease1,235                    Nigeria   Negative increase986                     India     Negative increase905[303]                           Yemen     Positive decrease1,319            Pakistan  Positive de
         17 Egypt     Negative increase1,176                    Myanmar   Negative increase881                     Ukraine   Positive decrease902                                Pakistan  Positive decrease1,269            PhilippinePositive de
