"Marburg virus disease (MVD) outbreaks due to Marburg virus (MARV) infection 
Year ",Geographic location ,Virus ,Human cases ,Human deaths 
1967,"Marburg and Frankfurt, West Germany, and Belgrade, Yugoslavia ",MARV ,31,7
1975,"Rhodesia and Johannesburg, South Africa ",MARV ,3,1
1980,Kenya ,MARV ,2,1
1987,Kenya ,RAVV ,1,1
1988,"Koltsovo, Soviet Union ",? ,1,1
1990,"Koltsovo, Soviet Union ",MARV ,1,1
1998–2000 ,"Durba and Watsa, Democratic Republic of the Congo ",MARV & RAVV ,154,128
2004–2005 ,Angola ,MARV ,252,227
2007,Uganda ,MARV & RAVV ,4,1
2008,"Uganda, Netherlands, United States ",MARV ,2,1
2012,Uganda ,MARV ,15,4
2014,Uganda ,MARV ,1,1
2017,Uganda ,MARV ,3,3
