,"Estimated number of people (all ages) living with HIV"
"Country","2017"
"Afghanistan","No data"
"Albania","1400 [1300-1400]"
"Algeria","14 000 [13 000-15 000]"
"Andorra","No data"
"Angola","310 000 [260 000-360 000]"
"Antigua and Barbuda","No data"
"Argentina","120 000 [110 000-130 000]"
"Armenia","3400 [2800-4300]"
"Australia","26 000 [23 000-29 000]"
"Austria","7400 [6600-8200]"
"Azerbaijan","8000 [6100-10 000]"
"Bahamas","5300 [4600-6000]"
"Bahrain","<500 [<500-<500]"
"Bangladesh","13 000 [11 000-15 000]"
"Barbados","2700 [2400-3000]"
"Belarus","24 000 [18 000-33 000]"
"Belgium","No data"
"Belize","4500 [4000-58 000]"
"Benin","70 000 [46 000-99 000]"
"Bhutan","No data"
"Bolivia (Plurinational State of)","21 000 [13 000-31 000]"
"Bosnia and Herzegovina","No data"
"Botswana","380 000 [340 000-410 000]"
"Brazil","860 000 [630 000-1 100 000]"
"Brunei Darussalam","No data"
"Bulgaria","2800 [2600-3000]"
"Burkina Faso","94 000 [72 000-120 000]"
"Burundi","78 000 [63 000-93 000]"
"Cabo Verde","2400 [2000-2900]"
"Cambodia","67 000 [58 000-79 000]"
"Cameroon","510 000 [430 000-600 000]"
"Canada","No data"
"Central African Republic","110 000 [96 000-130 000]"
"Chad","110 000 [94 000-140 000]"
"Chile","67 000 [58 000-76 000]"
"China","No data"
"Colombia","150 000 [120 000-180 000]"
"Comoros","<200 [<200-<500]"
"Congo","100 000 [85 000-110 000]"
"Cook Islands","No data"
"Costa Rica","13 000 [11 000-14 000]"
"Côte d'Ivoire","500 000 [350 000-690 000]"
"Croatia","No data"
"Cuba","30 000 [26 000-33 000]"
"Cyprus","890 [820-970]"
"Czechia","2900 [2500-3300]"
"Democratic People's Republic of Korea","No data"
"Democratic Republic of the Congo","390 000 [310 000-470 000]"
"Denmark","6400 [5900-6900]"
"Djibouti","9100 [6300-13 000]"
"Dominica","No data"
"Dominican Republic","67 000 [52 000-85 000]"
"Ecuador","36 000 [25 000-65 000]"
"Egypt","16 000 [15 000-18 000]"
"El Salvador","25 000 [22 000-27 000]"
"Equatorial Guinea","53 000 [44 000-68 000]"
"Eritrea","14 000 [10 000-19 000]"
"Estonia","5700 [5100-6400]"
"Eswatini","210 000 [190 000-220 000]"
"Ethiopia","610 000 [470 000-780 000]"
"Fiji","No data"
"Finland","No data"
"France","200 000 [170 000-240 000]"
"Gabon","56 000 [49 000-65 000]"
"Gambia","21 000 [17 000-25 000]"
"Georgia","11 000 [8200-14 000]"
"Germany","91 000 [80 000-100 000]"
"Ghana","310 000 [260 000-370 000]"
"Greece","14 000 [13 000-16 000]"
"Grenada","No data"
"Guatemala","46 000 [40 000-52 000]"
"Guinea","120 000 [97 000-140 000]"
"Guinea-Bissau","40 000 [32 000-45 000]"
"Guyana","8200 [7600-9200]"
"Haiti","150 000 [130 000-180 000]"
"Honduras","22 000 [17 000-27 000]"
"Hungary","2800 [2400-3200]"
"Iceland","No data"
"India","2 100 000 [1 500 000-3 000 000]"
"Indonesia","630 000 [540 000-740 000]"
"Iran (Islamic Republic of)","60 000 [31 000-110 000]"
"Iraq","No data"
"Ireland","7200 [6500-8100]"
"Israel","No data"
"Italy","130 000 [110 000-150 000]"
"Jamaica","34 000 [28 000-39 000]"
"Japan","28 000 [24 000-32 000]"
"Jordan","No data"
"Kazakhstan","27 000 [18 000-28 000]"
"Kenya","1 500 000 [1 300 000-1 800 000]"
"Kiribati","No data"
"Kuwait","540 [<500-640]"
"Kyrgyzstan","7600 [5500-10 000]"
"Lao People's Democratic Republic","12 000 [10 000-14 000]"
"Latvia","No data"
"Lebanon","2200 [1900-2500]"
"Lesotho","320 000 [290 000-340 000]"
"Liberia","40 000 [32 000-50 000]"
"Libya","No data"
"Lithuania","2800 [2500-3000]"
"Luxembourg","1100 [940-1200]"
"Madagascar","35 000 [29 000-45 000]"
"Malawi","1 000 000 [980 000-1 100 000]"
"Malaysia","87 000 [76 000-99 000]"
"Maldives","No data"
"Mali","130 000 [110 000-160 000]"
"Malta","No data"
"Marshall Islands","9000 [6400-13 000]"
"Mauritania","No data"
"Mauritius","No data"
"Mexico","230 000 [210 000-260 000]"
